Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,22,6,11000,17037.482968182303,1004.5633999980055,45336.917099994025,663.2727272727273,0.3800434594087378,0.10364821620238303,16000,23000,28000,29000,36000,39000,45000,45000,45000,45000,45000
GET,/health,9,0,16,462.84432222212973,3.903899996657856,2041.739399996004,58.888888888888886,0.15547232430357455,0.0,16,17,19,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,31,6,5000,12225.491103226124,3.903899996657856,45336.917099994025,487.80645161290323,0.5355157837123123,0.10364821620238303,5000,16000,23000,27000,30000,39000,45000,45000,45000,45000,45000
