Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,88,81,19000,21645.93195227396,6926.134400011506,53472.79329999583,162.6931818181818,1.5522627306455314,1.428787286162364,21000,25000,26000,26000,29000,35000,41000,53000,53000,53000,53000
GET,/health,25,0,16,667.7758160018129,3.4149999992223457,2097.0025999995414,59.0,0.440983730297026,0.0,16,19,2000,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,113,81,18000,17004.746966373048,3.4149999992223457,53472.79329999583,139.75221238938053,1.9932464609425573,1.428787286162364,18000,22000,26000,26000,28000,29000,39000,41000,53000,53000,53000
