Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,17,0,1100,1292.5794705909484,932.0692000037525,4083.2856000051834,868.8235294117648,0.3008502113351407,0.0,1100,1200,1300,1300,1600,4100,4100,4100,4100,4100,4100
GET,/health,7,0,14,15.509585712737005,3.531399997882545,30.859999998938292,58.714285714285715,0.12387949878505795,0.0,14,17,18,18,31,31,31,31,31,31,31
,Aggregated,24,0,1000,920.1007541681369,3.531399997882545,4083.2856000051834,632.5416666666666,0.4247297101201987,0.0,1000,1100,1200,1300,1300,1600,4100,4100,4100,4100,4100
