Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,17,0,1200,1362.0379294101012,917.0383999953629,2146.2935999952606,876.7058823529412,0.2916647942455203,0.0,1200,1500,1600,1600,1900,2100,2100,2100,2100,2100,2100
GET,/health,5,0,4,454.4107600013376,3.3269999985350296,2256.3755000010133,55.0,0.08578376301338833,0.0,4,5,5,2300,2300,2300,2300,2300,2300,2300,2300
,Aggregated,22,0,1200,1155.759027271746,3.3269999985350296,2256.3755000010133,689.9545454545455,0.37744855725890863,0.0,1200,1400,1600,1600,1900,2100,2300,2300,2300,2300,2300
