Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,97,92,20000,20154.07749381443,4877.073499999824,35133.803999997326,102.85567010309278,1.6742423517906746,1.5879411996365163,20000,20000,20000,20000,20000,33000,35000,35000,35000,35000,35000
GET,/health,29,0,5,359.6747413782929,3.1191999951261096,2074.063700005354,57.0,0.5005466824941193,0.0,5,7,13,20,2100,2100,2100,2100,2100,2100,2100
,Aggregated,126,92,18000,15598.222892063244,3.1191999951261096,35133.803999997326,92.3015873015873,2.1747890342847938,1.5879411996365163,18000,20000,20000,20000,20000,24000,35000,35000,35000,35000,35000
