Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,31,15,18000,13232.48457096657,1120.2066000041668,21853.372199999285,488.64516129032256,0.5334874445875127,0.258139086090732,18000,18000,18000,18000,20000,21000,22000,22000,22000,22000,22000
GET,/health,6,0,4,1026.3799999993353,3.4357999975327402,2059.985699997924,57.0,0.10325563443629279,0.0,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
,Aggregated,37,15,9500,11253.116262161073,3.4357999975327402,21853.372199999285,418.64864864864865,0.6367430790238056,0.258139086090732,9500,18000,18000,18000,20000,21000,22000,22000,22000,22000,22000
