Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/analyse-lead,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/analyse-lead'),82,2026-06-19T13:42:56Z,2026-06-19T13:43:33Z
POST,/api/v1/analyse-lead,HTTPError('422 Client Error: Unprocessable Content for url: /api/v1/analyse-lead'),10,2026-06-19T13:43:05Z,2026-06-19T13:43:32Z
