Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/analyse-lead,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/analyse-lead'),13,2026-06-19T13:41:58Z,2026-06-19T13:42:28Z
POST,/api/v1/analyse-lead,HTTPError('422 Client Error: Unprocessable Content for url: /api/v1/analyse-lead'),2,2026-06-19T13:42:14Z,2026-06-19T13:42:19Z
