Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/analyse-lead,392,392,18262.829600003897,19715.710694132726,18262.829600003897,39111.930400002166,49.244897959183675,6.69302977900845,6.69302977900845,18000,21000,21000,21000,21000,21000,33000,35000,39000,39000,39000
GET,/health,113,0,9,584.3187539822286,3.8914000033400953,2250.709599997208,57.65486725663717,1.9293682781325379,0.0,9,17,2100,2100,2100,2100,2100,2100,2300,2300,2300
,Aggregated,505,392,18000,15434.824972871333,3.8914000033400953,39111.930400002166,51.12673267326733,8.622398057140988,6.69302977900845,18000,20000,21000,21000,21000,21000,23000,35000,39000,39000,39000
